,Unnamed: 0,DATE,NAME,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG,AWND,State Name,county Name,State Code,County Code,AQI,Category
181,181,2024-09-23,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",28,0,0,200,161,174.0,37.0,Maryland,Anne Arundel,24,3,28,Good
182,182,2024-09-24,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",18,0,0,200,156,188.0,31.0,Maryland,Anne Arundel,24,3,29,Good
183,183,2024-09-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",48,0,0,211,172,217.0,17.0,Maryland,Anne Arundel,24,3,21,Good
184,184,2024-09-26,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",114,0,0,256,200,219.0,46.0,Maryland,Anne Arundel,24,3,19,Good
185,185,2024-09-27,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",74,0,0,228,206,221.0,42.0,Maryland,Anne Arundel,24,3,16,Good
186,186,2024-09-28,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",33,0,0,272,189,190.0,42.0,Maryland,Anne Arundel,24,3,21,Good
187,187,2024-09-29,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8,0,0,194,172,173.0,37.0,Maryland,Anne Arundel,24,3,19,Good
188,188,2024-09-30,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",33,0,0,189,161,168.0,34.0,Maryland,Anne Arundel,24,3,19,Good
189,189,2024-10-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",89,0,0,206,156,162.0,17.0,Maryland,Anne Arundel,24,3,22,Good
190,190,2024-10-02,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3,0,0,178,144,181.0,11.0,Maryland,Anne Arundel,24,3,17,Good
191,191,2024-10-03,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,144,187.0,11.0,Maryland,Anne Arundel,24,3,29,Good
192,192,2024-10-04,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,233,139,191.0,20.0,Maryland,Anne Arundel,24,3,29,Good
193,193,2024-10-05,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,244,100,158.0,17.0,Maryland,Anne Arundel,24,3,44,Good
194,194,2024-10-06,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,244,83,186.0,29.0,Maryland,Anne Arundel,24,3,46,Good
195,195,2024-10-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,233,111,146.0,19.0,Maryland,Anne Arundel,24,3,38,Good
196,196,2024-10-08,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,200,78,131.0,38.0,Maryland,Anne Arundel,24,3,39,Good
197,197,2024-10-09,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,200,61,116.0,23.0,Maryland,Anne Arundel,24,3,43,Good
198,198,2024-10-10,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,167,44,104.0,24.0,Maryland,Anne Arundel,24,3,21,Good
199,199,2024-10-11,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,194,22,159.0,25.0,Maryland,Anne Arundel,24,3,30,Good
200,200,2024-10-12,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,250,94,169.0,29.0,Maryland,Anne Arundel,24,3,50,Good
201,201,2024-10-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,261,89,170.0,53.0,Maryland,Anne Arundel,24,3,45,Good
202,202,2024-10-14,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,194,56,89.0,33.0,Maryland,Anne Arundel,24,3,31,Good
203,203,2024-10-15,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,139,33,72.0,35.0,Maryland,Anne Arundel,24,3,28,Good
204,204,2024-10-16,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,128,17,78.0,29.0,Maryland,Anne Arundel,24,3,28,Good
205,205,2024-10-17,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,150,0,100.0,19.0,Maryland,Anne Arundel,24,3,31,Good
206,206,2024-10-18,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,194,28,104.0,10.0,Maryland,Anne Arundel,24,3,32,Good
207,207,2024-10-19,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,0,0,206,17,112.0,8.0,Maryland,Anne Arundel,24,3,31,Good
