"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/16/2025","AQS","240313001","3","5","ug/m3 LC","28","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/17/2025","AQS","240313001","3","3.3","ug/m3 LC","18","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/18/2025","AQS","240313001","3","6.5","ug/m3 LC","36","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/19/2025","AQS","240313001","3","7.9","ug/m3 LC","44","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/20/2025","AQS","240313001","3","7.2","ug/m3 LC","40","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/21/2025","AQS","240313001","3","6.8","ug/m3 LC","38","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/22/2025","AQS","240313001","3","9.6","ug/m3 LC","52","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/23/2025","AQS","240313001","3","9.6","ug/m3 LC","52","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/24/2025","AQS","240313001","3","10.8","ug/m3 LC","54","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/25/2025","AQS","240313001","3","9.4","ug/m3 LC","52","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/26/2025","AQS","240313001","3","8.3","ug/m3 LC","46","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/27/2025","AQS","240313001","3","8.8","ug/m3 LC","49","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"02/28/2025","AQS","240313001","3","4.1","ug/m3 LC","23","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/01/2025","AQS","240313001","3","3.3","ug/m3 LC","18","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/02/2025","AQS","240313001","3","5.4","ug/m3 LC","30","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/03/2025","AQS","240313001","3","9.1","ug/m3 LC","51","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/04/2025","AQS","240313001","3","7.6","ug/m3 LC","42","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
"03/05/2025","AQS","240313001","3","3.6","ug/m3 LC","20","Rockville","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","24","Maryland","031","Montgomery","39.114313","-77.106876"
